Combined_Key,Population
"Latah, Idaho, US",40108
"Lemhi, Idaho, US",8027
"Lewis, Idaho, US",3838
"Lincoln, Idaho, US",5366
"Madison, Idaho, US",39907
"Minidoka, Idaho, US",21039
"Nez Perce, Idaho, US",40408
"Oneida, Idaho, US",4531
"Owyhee, Idaho, US",11823
"Payette, Idaho, US",23951
"Power, Idaho, US",7681
"Shoshone, Idaho, US",12882
"Teton, Idaho, US",12142
"Twin Falls, Idaho, US",86878
"Valley, Idaho, US",11392
"Washington, Idaho, US",10194
"Adams, Illinois, US",65435
"Alexander, Illinois, US",5761
"Bond, Illinois, US",16426
"Boone, Illinois, US",53544
"Brown, Illinois, US",6578
"Bureau, Illinois, US",32628
"Calhoun, Illinois, US",4739
"Carroll, Illinois, US",14305
"Cass, Illinois, US",12147
"Champaign, Illinois, US",209689
"Christian, Illinois, US",32304
"Clark, Illinois, US",15441
"Clay, Illinois, US",13184
"Clinton, Illinois, US",37562
"Coles, Illinois, US",50621
"Cook, Illinois, US",5150233
"Crawford, Illinois, US",18667
"Cumberland, Illinois, US",10766
"DeKalb, Illinois, US",104897
"De Witt, Illinois, US",15638
"Douglas, Illinois, US",19465
"DuPage, Illinois, US",922921
"Edgar, Illinois, US",17161
"Edwards, Illinois, US",6395
"Effingham, Illinois, US",34008
"Fayette, Illinois, US",21336
"Ford, Illinois, US",12961
"Franklin, Illinois, US",38469
"Fulton, Illinois, US",34340
"Gallatin, Illinois, US",4828
"Greene, Illinois, US",12969
"Grundy, Illinois, US",51054
"Hamilton, Illinois, US",8116
"Hancock, Illinois, US",17708
"Hardin, Illinois, US",3821
"Henderson, Illinois, US",6646
"Henry, Illinois, US",48913
"Iroquois, Illinois, US",27114
"Jackson, Illinois, US",56750
"Jasper, Illinois, US",9610
"Jefferson, Illinois, US",37684
"Jersey, Illinois, US",21773
"Jo Daviess, Illinois, US",21235
"Johnson, Illinois, US",12417
"Kane, Illinois, US",532403
"Kankakee, Illinois, US",109862
"Kendall, Illinois, US",128990
"Knox, Illinois, US",49699
"Lake, Illinois, US",696535
"LaSalle, Illinois, US",108669
"Lawrence, Illinois, US",15678
"Lee, Illinois, US",34096
"Livingston, Illinois, US",35648
"Logan, Illinois, US",28618
"McDonough, Illinois, US",29682
"McHenry, Illinois, US",307774
"McLean, Illinois, US",171517
"Macon, Illinois, US",104009
"Macoupin, Illinois, US",44926
"Madison, Illinois, US",262966
